April	thang Tu
screw	dinh vit, dinh oc; bat vit, bat oc
seal	hai cau; san hai cau
search	su tim kiem, su tham do, su dieu tra; tim kiem, tham do, dieu tra
season	mua
seat	ghe, cho ngoi
second	thu hai, o vi tri thu 2, thu nhi; nguoi ve nhi
secondary	trung hoc, thu yeu
secret	bi mat; dieu bi mat
secretary	thu ky
secretly	bi mat, rieng tu
section	muc, phan
sector	khu vuc, linh vuc
secure	chac chan, dam bao; bao dam, giu an ninh
security	su an toan, su an ninh
see	nhin, nhin thay, quan sat
seed	hat, hat giong
seek	tim, tim kiem, theo duoi,doi hoi
seem	co ve nhu, duong nhu
select	chon lua, chon loc
selection	su lua chon, su choc loc
self	ban than minh
sell	ban
senate	thuong nghi vien, ban giam hieu
senator	thuong nghi si
send	gui, phai di
senior	nhieu tuoi hon, danh cho tre em tren 11t, sinh vien nam cuoi truong trung hoc, cao dang
sense	giac quan, tri giac, cam giac
sensible	co oc xet doan; hieu, nhan biet duoc
sensitive	de bi thuong, de bi hong; de bi xuc pham
sentence	cau
separate	khac nhau, rieng biet; lam roi, tach ra, chia tay
separated	ly than
separately	khong cung nhau, thanh nguoi rieng, vat rieng
separation	su chia cat, phan ly, su chia tay, ly than
series	loat, day, chuoi
serious	dung dan, nghiem trang
seriously	dung dan, nghiem trang
servant	nguoi hau, day to
serve	phuc vu, phung su
service	su phuc vu, su hau ha
session	buoi hop, phien hop, buoi, phien
set	bo, bon, dam, lu; dat de, bo tri
set fire to	dot chay cai gi
settle	giai quyet, dan xep, hoa giai, dat, bo tri
several	nhieu hon ba; vai; dam ba, rieng; ca nhan
severe	khat khe, gay gat; gian di, moc mac
severely	khat khe, gay gat; gian di, moc mac
sew	may, khau
sewing	su khau, su may va
sex	gioi, giong
sexual	gioi tinh, cac van de sinh ly
sexually	gioi tinh, cac van de sinh ly
shade	bong, bong toi
shadow	bong, bong toi, bong ram, bong ma
shake	rung, lac, giu; su rung, su lac, su giu
shall	du doan tuong lai: se
shallow	nong, can
shame	su xau ho, then thung, su nguong
shape	hinh, hinh dang, hinh thu
shaped	co hinh dang duoc chi ro
share	dong gop, tham gia, chia se; phan dong gop, phan tham gia, chia se
sharp	sac, nhon, ben
sharply	sac, nhon, ben
shave	cao (rau), bao, deo (go)
sheep	con cuu
sheet	chan, khan trai giuong; la, tam, phien, to
shelf	ke, ngan, gia
shell	vo, mai; ve be ngoai
shelter	su nuong tua, su che cho, su an nau; che cho, bao ve
shift	doi cho, doi cho, chuyen, giao; su thay doi, su luan phien
shine	chieu sang, toa sang
shiny	sang choi, bong
ship	tau, tau thuy
shirt	ao so mi
shock	su dung cham, va cham, su kich dong, su choang
shocked	bi kich dong, bi va cham, bi soc
shocking	gay ra cam phan, toi te, gay kich dong
shoe	giay
shoot	vut qua, chay qua, nem, phong, ban; dam ra, troi ra
shooting	su ban, su phong di
shop	cua hang; di mua hang, di cho
shopping	su mua sam
short	ngan, cut
shortly	trong thoi gian ngan, som
shot	dan, vien dan
shoulder	vai
shout	ho het, reo ho; su la het, su ho reo
show	bieu dien, trung bay; su bieu dien, su bay to
shut	dong, khep, day; tinh khep kin
shy	nhut nhat, e then
sick	om, dau, benh
side	mat, mat phang
sideways	ngang, tu mot ben; sang ben
sight	canh dep; su nhin
sign	dau, dau hieu, ki hieu; danh dau, viet ky hieu
signal	dau hieu, tin hieu; ra hieu, bao hieu
signature	chu ky
significant	nhieu y nghia, quan trong
significantly	dang ke
silence	su im lang, su yen tinh
silent	im lang, yen tinh
silk	to, chi, lua
silly	ngo ngan, ngu ngoc, kho dai
silver	bac, dong bac; lam bang bac, trang nhu bac
similar	giong nhu, tuong tu nhu
similarly	tuong tu, giong nhau
simple	don, don gian, de dang
simply	mot cach de dang, gian di
since	tu, tu khi; tu khi, tu luc do; tu do, tu luc ay
sincere	that tha, thang thang, chan thanh
sincerely	mot cach chan thanh
sing	hat, ca hat
singer	ca si
singing	su hat, tieng hat
single	don, don doc, don le
sink	chim, lun, dam
sir	xung ho lich su Ngai, Ong
sit	ngoi
sit down	ngoi xuong
site	cho, vi tri
situation	hoan canh, dia the, vi tri
size	co
sized	da duoc dinh co
skilful	tai gioi, kheo tay
skilfully	tai gioi, kheo tay
skill	ky nang, ky sao
skilled	co ky nang, co ky sao, kheo tay; co kinh nghiem, lanh nghe
skin	da, vo
skirt	vay, dam
sky	troi, bau troi
sleep	ngu; giac ngu
sleeve	tay ao, ong tay
slice	mieng, lat mong; cat ra thanh mieng mong, lat mong
slide	truotc, chuyen dong nhe, luot qua
slight	mong manh, thon, gay
slightly	manh khanh, mong manh, yeu ot
slip	truot, tuot, troi qua, chay qua
slope	doc, duong doc, do doc; nghieng, doc
slow	cham, cham chap
slowly	mot cach cham chap, cham dan
smart	manh, ac liet,kheo leo, nhanh tri
smash	dap, vo tan thanh manh; su dap, vo tan thanh manh
smell	ngui; su ngui, khuu giac
smile	cuoi, mim cuoi; nu cuoi, ve tuoi cuoi
smoke	khoi, hoi thuoc; hut thuoc, boc khoi, hoi
smoking	su hut thuoc
smooth	nhan, tron, muot ma
smoothly	mot cach em a, troi chay
snake	con ran; nguoi nham hiem, xao tra
snow	tuyet; tuyet roi
so	nhu vay, nhu the; vi the, vi vay, vi the cho nen
so that	de, de cho, de ma
soap	xa phong
social	co tinh xa hoi
socially	co tinh xa hoi
society	xa hoi
sock	tat ngan, mieng lot giay
soft	mem, deo
softly	mot cach mem deo
software	phan mem (may tinh)
soil	dat trong; vet ban
soldier	linh, quan nhan
solid	ran; the ran, chat ran
solution	su giai quyet, giai phap
solve	giai, giai thich, giai quyet
some	mot it, mot vai
somebody	nguoi nao do
somehow	khong biet lam sao, bang cach nay hay cach khac
something	mot dieu gi do, mot viec gi do, mot cai gi do
sometimes	thinh thoang, doi khi
somewhat	den muc do nao do, hoi, mot chut
somewhere	noi nao do. dau do
soon	som, chang bao lau nua
sore	dau, nhuc
sorry	xin loi, lay lam tiec, lay lam buon
sort	thu, hang loai; lua chon, sap xep, phan loai
soul	tam hon, tam tri, linh hon
sound	am thanh; nghe
soup	xup, canh, chao
sour	chua, co vi giam
source	nguon
south	phuong Nam, huong Nam; o phia Nam
southern	thuoc phuong Nam
space	khoang trong, khoang cach
spare	thua thai, du tru, rong rai; do du tru, do du phong
speak	noi
speaker	nguoi noi, nguoi dien thuyet
special	dac biet, rieng biet
specialist	chuyen gia, chuyen vien
specially	dac biet, rieng biet
specific	dac trung, rieng biet
specifically	dac trung, rieng biet
speech	su noi, kha nang noi, loi noi, cach noi, bai noi
speed	toc do, van toc
spell	danh van; su thu hut, su quyen ru, say me
spelling	su viet chinh ta
spend	tieu, xai
spice	gia vi
spicy	co gia vi
spider	con nhen
spin	quay, quay tron
spirit	tinh than, tam hon, linh hon
spiritual	tinh than, linh hon
spite	su gian, su han thu
split	che, tach, chia ra; su che, su tach, su chia ra
spoil	cuop, cuop doat
spoken	noi theo 1 cach nao do
spoon	cai thia
spot	dau, dom, vet
spray	may, ong, binh phut, bom, phun; bom, phun, xit
spread	trai, cang ra, bay ra; truyen ba
spring	mua xuan
square	vuong, vuong van; dang hinh vuong, hinh vuong
squeeze	ep, vat, xiet; su ep, su vat, su xiet
stable	on dinh, binh tinh, vung vang; chuong ngua
staff	gay quyen, quyen truong, nhan vien, can bo
stage	tang, be
stair	bac thang
take care of	su giu gin
take notice of	chu y
take part in	tham gia vao
take place	xay ra, duoc cu hanh, duoc to chuc
the rest	vat, cai con lai, nhung nguoi, cai khac
unable	khong co nang luc
unacceptable	khong the chap nhan
uncertain	thieu chinh xac, khong chac chan
uncomfortable	bat tien, kho chiu, khong thoai mai
unconscious	bat tinh, khong co y thuc, khong biet ro
uncontrolled	khong bi dieu khien, khong bi kiem tra, khong bi han che
under control	duoi su dieu khien cua...
undo	thao, go; xoa bo, huy bo
unemployed	that nghiep; khong dung, khong su dung duoc
unemployment	su that nghiep, nan that nghiep
unexpected	bat ngo, dot ngot, gay ngac nhien
unexpectedly	bat ngo, dot ngot, gay ngac nhien
unfair	gian lan, khong cong bang; bat loi
unfairly	gian lan, khong cong bang; bat loi
unfriendly	khong than thien, khong co thien cam
unhappiness	noi buon, su bat hanh
unhappy	buon rau, khon kho
unimportant	khong quan trong, khong trong dai
unkind	khong tot, doc ac, tan nhan
unknown	khong biet, khong duoc nhan ra
unlike	khac, khong giong
unlikely	khong the xay ra, khong chac xay ra
unload	cat ganh nang, do hang
unlucky	khong gap may, bat hanh
unnecessary	khong can thiet, khong mong muon
unpleasant	khong de chiu, kho chiu, kho ua
unreasonable	vo ly
unwilling	khong muon lam dieu gi; mien cuong; bat dac di
unwillingly	mien cuong; bat dac di
vacation	ky nghi he, ky nghi le; ngay nghi, ngay le
valid	chac chan, hieu qua, hop ly
valley	thung lung
valuable	co gia tri lon, dang gia
value	gia tri, uoc tinh, dinh gia
van	tien doi, quan tien phong; xe tai
variation	su bien doi, su thay doi muc do, su khac nhau
varied	thuoc nhieu loai khac nhau, nhung ve da dang
variety	su da dang, trang thai khac nhau
various	khac nhau, thuoc ve nhieu loai
vary	thay doi, lam cho khac nhau, bien doi
vast	rong lon, menh mong
vegetable	rau, thuc vat
vehicle	xe co
venture	su an kinh doanh, cong viec kinh doanh; lieu, mao hiem, ca gan
version	ban dich sang mot ngon ngu khac
vertical	thang dung, dung
via	qua, theo duong
victim	nan nhan
victory	chien thang
video	video
view	su nhin, tam nhin; nhin thay, xem, quan sat
village	lang, xa
violence	su ac liet, su du doi; bao luc
violent	manh liet, manh me, hung du
violently	manh liet, du doi
virtually	thuc su, hau nhu, gan nhu
virus	vi rut
visible	huu hinh, thay duoc
vision	su nhin, thi luc
visit	di tham hoi, den choi, tham quan; su di tham,
visitor	khach, du khach
vital	(thuoc) su song, can cho su song
vocabulary	tu vung
voice	tieng, giong noi
volume	the tich, quyen, tap
vote	su bo phieu, su bau cu; bo phieu, bau cu
wage	tien luong, tien cong
waist	eo, cho that lung
wait	cho doi
waiter	nguoi hau ban, nguoi doi, nguoi trong cho
waitress	nguoi nu hau ban
wake	thuc day, tinh thuc
walk	di, di bo; su di bo, su di dao
walking	su di, su di bo
wall	tuong, vach
wallet	cai vi
wander	di lang thang; su di lang thang
want	muon
war	chien tranh
warm	am, am ap; lam cho nong, ham nong
warmth	trang thai am, su am ap; hoi am
warn	bao cho biet, canh bao
warning	su bao truoc, loi canh bao
was	rua, giat
washing	su tam rua, su giat
waste	lang phi, uong phi; vung hoang vu, sa mac; bo hoang
watch	dong ho, nhin, theo doi, quan sat; su canh gac, su canh phong
water	nuoc
wave	song, gon nuoc; gon song, uon thanh song
way	duong, duong di
weak	yeu, yeu ot
weakness	tinh trang yeu duoi, yeu ot
wealth	su giau co, su giau sang
weapon	vu khi
wear	mac, mang, deo
weather	thoi tiet
web	mang, luoi
website	khong gian lien toi voi Internet
wedding	le cuoi, hon le
wednesday	thu 4
week	tuan, tuan le
weekend	cuoi tuan
weekly	moi tuan mot lan, hang tuan
weigh	can, can nang
weight	trong luong
welcome	chao mung, hoan nghenh
well	tot, gioi; oi, may qua!
well known	noi tieng, duoc nhieu nguoi biet den
west	phia Tay, theo phia tay, ve huong tay
western	ve phia tay, cua phia tay
wet	uot, am uot
whatever	bat cu thu gi, bat ke thu gi
wheel	banh xe
whenever	bat cu luc nao, luc nao
whereas	nhung nguoc lai, trong khi
wherever	o bat cu noi nao, o bat cu noi dau
whether	co..khong; co... chang; khong biet co.. khong
while	trong luc, trong khi; luc, choc, lat
whilst	trong luc, trong khi
whisper	noi thi tham, xi xao; tieng noi thi tham, tieng xi xao
whistle	su huyt sao, su thoi coi; huyt sao, thoi coi
white	trang; mau trang
whoever	ai, nguoi nao, bat cu ai, bat cu nguoi nao, du ai
whole	binh an vo su, khong suy suyen, khong hu hong; toan bo, tat ca, toan the
whose	cua ai
wide	rong, rong lon
widely	nhieu, xa; rong rai
width	tinh chat rong, be rong
wild	dai, hoang
wildly	dai, hoang
will	se; y chi, y dinh
willing	bang long, vui long, muon
willingly	san long, tu nguyen
willingness	su bang long, su vui long
win	chiem, doat, thu duoc
wind	gio, quan lai, cuon lai
wine	ruou, do uong
wing	canh, su bay, su cat canh
winner	nguoi thang cuoc
winning	dang danh thang loi, thang cuoc
winter	mua dong
wire	day (kim loai)
wise	khon ngoan, sang suot, thong thai
wish	uoc, mong muon; su mong uoc, long mong muon
with	voi, cung
withdraw	rut, rut khoi, rut lui
within	trong vong thoi gian, trong khoang thoi gian
without	khong, khong co
witness	su lam chung, bang chung; chung kien, lam chung
woman	dan ba, phu nu
wonder	ngac nhien, lay lam la, kinh ngac
wonderful	phi thuong, khac thuong, ky dieu, tuyet voi
wood	go
wooden	lam bang go
wool	len
word	tu
work	lam viec, su lam viec
worker	nguoi lao dong
working	su lam, su lam viec
world	the gioi
worried	bon chon, lo nghi, to ra lo lang
worry	lo lang, suy nghi; su lo lang, suy nghi
worrying	gay lo lang, gay lo nghi
worse	xau hon, toi hon, te hon
worship	su ton tho, su ton sung; tho, tho phung, ton tho
worst	xau nhat, toi nhat, te nhat, khong dang mong muon nhat, khong thich hop nhat
worth	dang gia, co gia tri
wound	vet thuong, thuong tich; lam bi thuong, gay thuong tich
wounded	bi thuong
wrap	goi, boc, quan
wrapping	vat bao boc, vat quan quanh
wrist	co tay
write	viet writing
writer	nguoi viet
writing	su viet
written	viet ra, duoc thao ra
wrong	sai
wrong	mac loi, sai lam
wrongly	mot cach bat cong, khong dung
yard	lat, thuoc Anh (bang 0, 914 met), san co rao
yawn	ha mieng; cu chi ngap
year	nam
yellow	vang; mau vang
yesterday	hom qua
yet	con, hay con, con nua; nhu ma, xong, tuy the, tuy nhien
yours faithfully	ban chan thanh
youth	tuoi tre, tuoi xuan, tuoi thanh nien, tuoi nien thieu
zone	sở thú
